English Name,Product Code,Product Name,Territory Code,Territory Name,Sales Value,Credit Value,Net Sales Value,Sales,Bonus,Year,Month
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,102A9,السنطة,254.737,0,254.737,1,0,2025,6
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,158A10,المحلة الكبري,254.737,0,254.737,1,0,2025,6
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,296A10,سمنود,2547.37,-2292.633,254.737,1,0,2025,6
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,378A9,كفرالزيات,1018.948,0,1018.948,4,0,2025,6
 ك.عملاء الغربية 1,19252,جنجيجيل تيثينج 20 مل,378A9,كفرالزيات,293.333,0,293.333,1,0,2025,6
 ك.عملاء الغربية 1,13168,جنجيجيل غسول للفم 150 مل,158A10,المحلة الكبري,810.525,0,810.525,3,0,2025,6
 ك.عملاء الغربية 1,13168,جنجيجيل غسول للفم 150 مل,378A9,كفرالزيات,270.175,0,270.175,1,0,2025,6
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,102A9,السنطة,509.474,0,509.474,2,0,2025,6
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,158A10,المحلة الكبري,509.474,0,509.474,2,0,2025,6
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,214A10,بسيون,509.474,0,509.474,2,0,2025,6
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,279A10,زفتى,509.474,0,509.474,2,0,2025,6
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,378A9,كفرالزيات,2547.37,0,2547.37,10,0,2025,6
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,403A7,مديرية التحرير,2037.896,0,2037.896,8,0,2025,6
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,102A9,السنطة,540.35,0,540.35,2,0,2025,6
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,158A10,المحلة الكبري,1891.225,0,1891.225,7,0,2025,6
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,214A10,بسيون,810.525,0,810.525,3,0,2025,6
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,378A9,كفرالزيات,1350.875,0,1350.875,5,0,2025,6
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,403A7,مديرية التحرير,1891.225,0,1891.225,7,0,2025,6
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,75A7,الخطاطبة,1080.7,0,1080.7,4,0,2025,6
 ك.عملاء الغربية 1,32059,فورتيبون 10 اكياس,158A10,المحلة الكبري,293.333,0,293.333,1,0,2025,6
 ك.عملاء الغربية 1,32059,فورتيبون 10 اكياس,214A10,بسيون,293.333,0,293.333,1,0,2025,6
