English Name,Product Code,Product Name,Territory Code,Territory Name,Sales Value,Credit Value,Net Sales Value,Sales,Bonus,Year,Month
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,158A10,المحلة الكبري,509.474,0,509.474,2,0,2025,5
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,214A10,بسيون,254.737,0,254.737,1,0,2025,5
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,279A10,زفتى,1273.685,0,1273.685,5,0,2025,5
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,341A9,طنطا,5349.477,0,5349.477,21,0,2025,5
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,365A10,قطور,254.737,0,254.737,1,0,2025,5
 ك.عملاء الغربية 1,13167,جنجيجيل 20 مل,378A9,كفرالزيات,509.474,0,509.474,2,0,2025,5
 ك.عملاء الغربية 1,19252,جنجيجيل تيثينج 20 مل,341A9,طنطا,1173.332,0,1173.332,4,0,2025,5
 ك.عملاء الغربية 1,19252,جنجيجيل تيثينج 20 مل,378A9,كفرالزيات,293.333,0,293.333,1,0,2025,5
 ك.عملاء الغربية 1,13168,جنجيجيل غسول للفم 150 مل,158A10,المحلة الكبري,540.35,0,540.35,2,0,2025,5
 ك.عملاء الغربية 1,13168,جنجيجيل غسول للفم 150 مل,341A9,طنطا,1350.875,0,1350.875,5,0,2025,5
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,158A10,المحلة الكبري,4585.266,0,4585.266,18,0,2025,5
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,214A10,بسيون,764.211,0,764.211,3,0,2025,5
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,279A10,زفتى,1783.159,0,1783.159,7,0,2025,5
 ك.عملاء الغربية 1,8801,سى اتش الفا 10 كيس,341A9,طنطا,10189.48,0,10189.48,39,1,2025,5
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,158A10,المحلة الكبري,8375.425,0,8375.425,30,1,2025,5
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,214A10,بسيون,270.175,0,270.175,1,0,2025,5
 ك.عملاء الغربية 1,20879,سى اتش الفا بلس 10 كيس,279A10,زفتى,5673.675,0,5673.675,20,1,2025,5
