English Name,Product Code,Product Name,Territory Code,Territory Name,Sales Value,Credit Value,Net Sales Value,Sales,Bonus,Year,Month
Chain - Alex & Delta,13167,جنجيجيل 20 مل,131A3,العطارين-الاسكندرية,254.737,0,254.737,1,0,2025,3
Chain - Alex & Delta,13167,جنجيجيل 20 مل,178A11,المنصورة,5094.74,0,5094.74,20,0,2025,3
Chain - Alex & Delta,13167,جنجيجيل 20 مل,398A3,محرم بك,2292.633,0,2292.633,9,0,2025,3
Chain - Alex & Delta,13167,جنجيجيل 20 مل,400A4,محطه الرمل,509.474,0,509.474,2,0,2025,3
Chain - Alex & Delta,19252,جنجيجيل تيثينج 20 مل,178A11,المنصورة,293.333,0,293.333,1,0,2025,3
Chain - Alex & Delta,19252,جنجيجيل تيثينج 20 مل,387A2,لوران,586.666,0,586.666,2,0,2025,3
Chain - Alex & Delta,13168,جنجيجيل غسول للفم 150 مل,297A3,سموحه,12157.875,0,12157.875,45,0,2025,3
Chain - Alex & Delta,13168,جنجيجيل غسول للفم 150 مل,400A4,محطه الرمل,2701.75,0,2701.75,10,0,2025,3
Chain - Alex & Delta,8801,سى اتش الفا 10 كيس,131A3,العطارين-الاسكندرية,227.719,0,227.719,1,0,2025,3
Chain - Alex & Delta,8801,سى اتش الفا 10 كيس,178A11,المنصورة,9564.198,-9564.198,0,0,0,2025,3
Chain - Alex & Delta,8801,سى اتش الفا 10 كيس,208A6,باكوس,4554.38,0,4554.38,20,0,2025,3
Chain - Alex & Delta,8801,سى اتش الفا 10 كيس,297A3,سموحه,1594.033,-455.438,1138.595,5,0,2025,3
Chain - Alex & Delta,8801,سى اتش الفا 10 كيس,400A4,محطه الرمل,7514.727,0,7514.727,30,3,2025,3
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,131A3,العطارين-الاسكندرية,1350.875,0,1350.875,5,0,2025,3
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,208A6,باكوس,8105.25,0,8105.25,30,0,2025,3
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,232A3,بولكلى,57277.1,0,57277.1,200,12,2025,3
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,297A3,سموحه,270.175,0,270.175,1,0,2025,3
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,400A4,محطه الرمل,285034.625,0,285034.625,1000,55,2025,3
Chain - Alex & Delta,20879,سى اتش الفا بلس 10 كيس,563A3,العجمى,10807,0,10807,40,0,2025,3
Chain - Alex & Delta,32059,فورتيبون 10 اكياس,131A3,العطارين-الاسكندرية,293.333,0,293.333,1,0,2025,3
Chain - Alex & Delta,32059,فورتيبون 10 اكياس,400A4,محطه الرمل,5866.66,0,5866.66,20,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,133A5,العوايد,1870,0,1870,25,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,178A11,المنصورة,9574.4,0,9574.4,128,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,232A3,بولكلى,7480,0,7480,100,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,297A3,سموحه,41140,0,41140,550,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,337A11,طلخا,1196.8,0,1196.8,16,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,387A2,لوران,224.4,0,224.4,3,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,400A4,محطه الرمل,673.2,0,673.2,9,0,2025,3
Chain - Alex & Delta,6414,كيفين تك بلاستر 7 قطع,461C10,وسط القاهرة,1196.8,0,1196.8,16,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,1007C7,مدينة العبور,254.737,0,254.737,1,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,154C5,الكلية الحربية,764.211,-764.211,0,0,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,181C15,المهندسين,15284.22,0,15284.22,60,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,188C11,الهرم 2 / فيصل,1273.685,0,1273.685,5,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,27C5,ارض الجولف,4585.266,0,4585.266,18,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,280C6,زهراء مدينة نصر,6113.688,-1273.685,4840.003,19,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,2C11,اكتوبر 6,2037.896,0,2037.896,8,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,315C5,شارع الميرغنى,254.737,0,254.737,1,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,406C6,مدينة نصر 1,1783.159,-1783.159,0,0,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,407C6,مدينة نصر 2,6368.425,0,6368.425,25,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,461C10,وسط القاهرة,509.474,0,509.474,2,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,63C12,الجيزة,2292.633,0,2292.633,9,0,2025,3
Chain - Cairo & Giza,13167,جنجيجيل 20 مل,96C4,الزيتون,1273.685,0,1273.685,5,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,1007C7,مدينة العبور,2346.664,0,2346.664,8,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,155C5,الكوربة,879.999,0,879.999,3,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,181C15,المهندسين,1466.665,0,1466.665,5,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,188C11,الهرم 2 / فيصل,586.666,0,586.666,2,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,241C4,جسر السويس,293.333,0,293.333,1,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,27C5,ارض الجولف,3226.663,0,3226.663,11,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,280C6,زهراء مدينة نصر,3813.329,0,3813.329,13,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,2C11,اكتوبر 6,10853.321,0,10853.321,37,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,406C6,مدينة نصر 1,8213.324,0,8213.324,28,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,407C6,مدينة نصر 2,879.999,0,879.999,3,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,412C17,مسرح البالون/العجوزة,4693.328,0,4693.328,16,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,446C5,ميدان سفير,2933.33,0,2933.33,10,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,461C10,وسط القاهرة,3519.996,-293.333,3226.663,11,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,63C12,الجيزة,2639.997,0,2639.997,9,0,2025,3
Chain - Cairo & Giza,19252,جنجيجيل تيثينج 20 مل,96C4,الزيتون,1466.665,0,1466.665,5,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,1007C7,مدينة العبور,1891.225,0,1891.225,7,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,181C15,المهندسين,6484.2,0,6484.2,24,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,187C11,الهرم 1,810.525,0,810.525,3,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,27C5,ارض الجولف,1080.7,0,1080.7,4,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,2C11,اكتوبر 6,1891.225,0,1891.225,7,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,315C5,شارع الميرغنى,810.525,-270.175,540.35,2,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,406C6,مدينة نصر 1,1891.225,0,1891.225,7,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,407C6,مدينة نصر 2,1080.7,0,1080.7,4,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,412C17,مسرح البالون/العجوزة,0,-810.525,-810.525,-3,,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,446C5,ميدان سفير,5943.85,0,5943.85,22,0,2025,3
Chain - Cairo & Giza,13168,جنجيجيل غسول للفم 150 مل,461C10,وسط القاهرة,2701.75,0,2701.75,10,0,2025,3
